,end_time,energy_kWh,start_time,vehicle_id,,start_season,start_month,start_day,start_hour,start_min,end_season,end_month,end_day,end_hour,end_min,,same_day?,#_hours,start_hour_CI,mid_hours_total_CI,end_hour_CI,,#_min,start_hour_credits,mid_hour_credts,end_hour_credits,,total_credits
0,12/15/2018 11:18,28.552,12/15/2018 7:13,22P0,,4,12,15,7,13,4,12,15,11,18,,1,5,122.4,293.75,89.84,,245,-0.000564931037388,-0.000314654693878,2.95271964734694E-05,,-0.000850058534792
1,12/15/2018 13:12,1.992,12/15/2018 11:03,56P5,,4,12,15,11,3,4,12,15,13,12,,1,3,89.84,91.17,92.03,,129,1.23894987906977E-05,8.60543999999999E-06,1.147392E-06,,2.21423307906976E-05
2,12/15/2018 17:38,6.64,12/15/2018 16:23,57P2,,4,12,15,16,23,4,12,15,17,38,,1,2,104.3,0,136.96,,75,-0.000124412352,0,-0.0005233318656,,-0.0006477442176
3,12/15/2018 7:13,0.63,12/15/2018 7:03,49P7,,4,12,15,7,3,4,12,15,7,13,,1,1,122.4,0,0,,10,-6.49782E-05,0,0,,-6.49782E-05
4,12/15/2018 9:40,1.47,12/15/2018 9:18,49P7,,4,12,15,9,18,4,12,15,9,40,,1,1,94.27,0,0,,22,-2.75183999999999E-06,0,0,,-2.75183999999999E-06
5,12/15/2018 11:24,4.2,12/15/2018 9:53,47P2,,4,12,15,9,53,4,12,15,11,24,,1,3,94.27,90.26,89.84,,91,-6.04799999999998E-07,3.47926153846153E-05,1.55918769230769E-05,,4.97796923076922E-05
6,12/15/2018 12:50,2.324,12/15/2018 10:58,51P4,,4,12,15,10,58,4,12,15,12,50,,1,3,90.26,89.84,91.17,,112,5.21405999999999E-07,1.752462E-05,9.63629999999999E-06,,2.7682326E-05
7,12/15/2018 13:59,1.89,12/15/2018 12:33,41P6,,4,12,15,12,33,4,12,15,13,59,,1,2,91.17,0,92.03,,86,5.51123999999999E-06,0,8.02871999999997E-06,,1.353996E-05
8,12/15/2018 19:18,0.914,12/15/2018 18:43,56P1,,4,12,15,18,43,4,12,15,19,18,,1,2,156.4,0,153,,35,-0.000100126872,0,-0.000100263188571,,-0.000200390060571
9,12/15/2018 22:20,4.2044,12/15/2018 20:03,56P1,,4,12,15,20,3,4,12,15,22,20,,1,3,141.37,130.78,115.22,,137,-0.000299881868216,-0.000245465761401,-4.74403627445256E-05,,-0.000592787992362
10,12/15/2018 18:08,0,12/15/2018 13:48,10P6,,4,12,15,13,48,4,12,15,18,8,,1,6,92.03,429.87,156.4,,260,0,0,0,,0
11,12/15/2018 9:12,8.55399999999999,12/15/2018 2:13,24P2,,4,12,15,2,13,4,12,15,9,12,,1,8,88.55,603.39,94.27,,419,1.79621750835322E-05,-0.000180312603723,-4.58608725536991E-07,,-0.000162809037365
12,12/15/2018 8:39,0.819,12/15/2018 8:23,21P2,,4,12,15,8,23,4,12,15,8,39,,1,1,109.22,0,0,,16,-4.5611748E-05,0,0,,-4.5611748E-05
13,12/15/2018 11:20,7.73499999999999,12/15/2018 9:03,21P2,,4,12,15,9,3,4,12,15,11,20,,1,3,94.27,90.26,89.84,,137,-6.02449226277369E-06,4.25616963503648E-05,1.58945781021897E-05,,5.24317821897808E-05
14,12/15/2018 21:43,25.564,12/15/2018 17:43,53P3,,4,12,15,17,43,4,12,15,21,43,,1,5,136.96,450.77,130.78,,240,-0.0002816782122,-0.003900248352,-0.0006105795234,,-0.0047925060876
15,12/15/2018 3:44,22.908,12/15/2018 0:13,58P2,,4,12,15,0,13,4,12,15,3,44,,1,4,93.34,178.8,87.8,,211,7.53162927014221E-06,0.000204022339336,0.000102323847583,,0.00031387781619
